Review,Rating,Sentiment,cleaned_review
I’m fully satisfied with your service,5,Positive,I m fully satisfied service
"I booked 4 tickets from London to Toronto based on their advertisement that included luggage. After payment, I received an email stating there was a ""technical problem"" and they couldn't include luggage as advertised, blaming Air Canada. They offered a refund if luggage was essential, so I canceled. They mentioned a £35 handling fee per ticket, which should have been £140, but my refund was short by £164.This company lures customers in with low prices, then adds hidden fees when you cancel due to their false advertising. Completely unethical – feels like a scam. Stay away!",1,Negative,book ticket london toronto base advertisement include luggage payment receive email state technical problem could not include luggage advertise blame air canada offer refund luggage essential cancel mention handling fee per ticket refund short company lure customer low price add hide fee cancel due false advertising completely unethical feel like scam stay away
"After reading the reviews I stopped booking the flight from this site, while going for Payment option the amount increased which is not fair",1,Negative,read review stop book flight site go payment option amount increase fair
"Appalling customer service after they miss sold visas that were not useable and refused to refund. Total crooks and we are now going down a more formal, legal route. BEWARE",1,Negative,appal customer service miss sell visas useable refuse refund total crook go formal legal route beware
Very smooth experience booking my flight with go to gate… they offered the lowest price and the booking process was straight forwardI would not hesitate to recommend them…,5,Positive,smooth experience book flight go gate offer low price booking process straight forwardi would hesitate recommend
Sold me products that could never be used .Clear case of mis-selling but taking no rsponsibility for the issue and continue to sell them as we speak.,1,Negative,sell product could never use clear case misselle take rsponsibility issue continue sell speak
I didn’t receive the verification code. I checked my spam folder and it’s not there either.,2,Negative,do not receive verification code check spam folder either
No review text,5,Positive,review text
I find the booking process very easy and the information I have received since is very clear and gives me lots of confidence that everything will go well.,4,Positive,find booking process easy information receive since clear give lot confidence everything go well
Made a mistake with flight bookings called them within 5 minutes to modify the booking but they said they can't change it and they will charged me 70 AUD for administration fee without doing anything.,1,Negative,make mistake flight booking call within minute modify booking say can not change charge aud administration fee without anything
Easy to find the flight I wanted.Clear and easy to follow the instructions and quick to finish the booking,4,Positive,easy find flight wantedclear easy follow instruction quick finish booking
If your rating is low that for reason.,1,Negative,rate low reason
No review text,5,Positive,review text
No review text,5,Positive,review text
EASY TO BOOK WITH GGREAT PRICE!!,5,Positive,easy book ggreat price
"We cancelled our VietJet Air flight through Booking (managed by GoToGate), and a travel voucher of around €360 was issued. We simply wanted to use that voucher to book two new flights (a 1-hour domestic flight and a 3-hour international flight), whose total cost was well within the value of the voucher.Yet GoToGate made the process completely impossible:	•	Refused to share the voucher with us directly	•	Forced us to go through their customer service for any rebooking	•	No transparency about the actual flight prices	•	They asked for over €1,000 for flights that we could see cost no more than €411 total without giving us the amount of the flight, only a link for us to pay extra Every exchange was confusing and contradictory. We received vague and often nonsensical answers. No breakdown of the costs. No clear communication.After over a month of going in circles, we were forced to buy new tickets on our own. We then requested a refund — first they said it was in progress, then said it wasn’t possible, then told us again to use the voucher… It’s never-ending nonsense.We are now demanding a full and immediate refund, because this entire situation was caused by their blatant mismanagement.GoToGate should be avoided at all costs. Their customer service is nonexistent, their practices are opaque, and the overall experience has been unacceptable.At this point, their behavior borders on illegality, and the way this company operates feels more like organized fraud than a serious travel agency.I had to post this again to insert my order number 40-674986360",1,Negative,cancel vietjet air flight booking manage gotogate travel voucher around issue simply want use voucher book two new flight hour domestic flight hour international flight whose total cost well within value voucheryet gotogate make process completely impossible refuse share voucher we directly force we go customer service rebooke transparency actual flight price ask flight could see cost total without give we amount flight link we pay extra every exchange confuse contradictory receive vague often nonsensical answer breakdown cost clear communicationafter month go circle force buy new ticket request refund first say progress say be not possible tell we use voucher neverending nonsensewe demand full immediate refund entire situation cause blatant mismanagementgotogate avoid cost customer service nonexistent practice opaque overall experience unacceptableat point behavior border illegality way company operate feel like organized fraud serious travel agencyi post insert order number
"The flight I bought was cheaper on the airline's own website, but your app sold it to me at a higher price",1,Negative,flight buy cheap airline website app sell high price
"Finding the best price was easy, but then all the unnecessary questions are bit of a burden it doesn’t have to be that hard.it need to be simplified.",3,Neutral,find good price easy unnecessary question bit burden do not hardit need simplify
"USLESS, POINTLESS, MIDDLE MAN COMPANY - AVOID! I'd give 0 stars if I could. I booked return flights to Ibiza with EasyJet via Go To Gate, 9mths in advance. With 3mths to go, EasyJet changed the flight times and departing airport. I told Go To Gate I could not accept the change (they were cutting my 3 day trip short by a whole day!) and wanted a full refund. They said it would be 10 working days. After 10 days they'd only refunded my outbound flight (£350). I called for an update and they said they were waiting for EasyJet to refund them and then I'd be refunded. I had to contact them a further 4 times over a 3 week period for the remining £600 I was owed. Each time I was told that there was nobody in their refunds team that I could speak to and I'd have to just keep waiting. In the end I checked EasyJet's website and could see my inbound flights had been rebooked on the 9am flight I did not agree to! After 2 more calls to Go To Gate, and no resolution, I contacted EasyJet and they were able to cancel the booking and refund my money, within 30mins. Annoyingly the refund had to go via Go To Gate who then took a further 3 days to credit me. All in all I had to wait 1 month for what was supposed to be a 10 day refund, chase this AWFUL company several times and eventually do their job for them and contact the airline myself. If you're going to be a middle man company at least be good at it, otherwise you're just useless!",1,Negative,usless pointless middle man company avoid i d give star could book return flight ibiza easyjet via go gate mth advance mth go easyjet change flight time depart airport tell go gate could accept change cut day trip short whole day want full refund say would work day day they d refunded outbound flight call update say waiting easyjet refund i d refunded contact time week period remine owe time tell nobody refund team could speak I d keep waiting end check easyjets website could see inbound flight rebooke flight agree call go gate resolution contact easyjet able cancel booking refund money within min annoyingly refund go via go gate take day credit wait month suppose day refund chase awful company several time eventually job contact airline you re go middle man company least good otherwise you re useless
"Not recommended Very horrible experience they replied after a month customer service is always unavailable  three times  I raised my issue  and four days before  flight they emailed and sayRegarding your inquiry, we would like to inform you that to can use the flight your name must be M************ti so we need to correct the name and to correct the name you need to pay 100 USD and this is the payment link for the payment.In according to airlines policies  correction in name one alphabet correction is free.  I already talked to airlineThey think people are mad",1,Negative,recommend horrible experience reply month customer service always unavailable three time raise issue four day flight email sayregarde inquiry would like inform use flight name must mti need correct name correct name need pay usd payment link paymentin accord airline policy correction name one alphabet correction free already talk airlinethey think people mad
"Be carefulThis is a scam company....احرص....هذه شركة احتيالI requested to cancel my flight 4 days before the flight dateDue to health conditionsBut gotogate rejected my request and refused to refund the amount I paid. He did not return anything from him to me.Scam officeIn association with the airline BRITISH AIRWAYS, who treat them poorly.They took £363.45 from me and I haven't gotten any of it back.",1,Negative,carefulthis scam company request cancel flight day flight datedue health conditionsbut gotogate reject request refuse refund amount pay return anything mescam officein association airline british airways treat poorlythey take have not get back
A SET OF CROOKS we booked 4 return flights to Malaga at a total cost of 1081.70 we were then informed we couldn't book in or  get our tickets until 12-24 hours before our flight and I paid another £292 to an agent by the name of AT MORRIS supposidly for airport taxes so we rang the airline direct who told us not to pay as taxes are included in our tickets and it's a con we have now booked direct with the airline at a total cost of £380,1,Negative,set crook book return flight malaga total cost inform could not book get ticket hour flight pay another agent name morris supposidly airport taxis rang airline direct tell we pay taxis include ticket con book direct airline total cost
It was easy to book.  I didn’t love all the add ons I had to click “no” to but understand you need to make money.,4,Positive,easy book do not love add on click understand need make money
Issues with payment,3,Neutral,issue payment
No review text,5,Positive,review text
No review text,4,Positive,review text
"Very very bad - do not ever use them. I booked a multi trip and it gave me a price, then at the payment screen it was $1000 more. I will never use again.Added this after seeing Gotogate's reply to my review. This has never happened on any other flight booking website and I have booked many flights on many website, in fact I have visited every country in Europe plus more. Plus it was not a minor change, $1000 is not minor. Plus this change of price happen 10 seconds after Gotogate gave me the supposed real price from the airline, how could the price of flights change by $1000 in 10 seconds??? This is a scam!!! Stay clear of them. I went back to do a search on the same flights, how come other websites offered the same flights for $1000 less. Other reviewers said the same thing happened to them with Gotogate. Run and run fast!!! Do not listen to them if they reply to this, for your best interest, there are many other better flights booking websites out there. Skyscanner and cheap flights to name a few.",1,Negative,bad ever use book multi trip give price payment screen never use againadded see gotogate reply review never happen flight booking website book many flight many website fact visit every country europe plus plus minor change minor plus change price happen second gotogate gave suppose real price airline could price flight change second scam stay clear go back search flight come website offer flight less reviewer say thing happen gotogate run run fast listen reply good interest many well flight book website skyscanner cheap flight name
"Bad dishonest people, avoid any transactions with them. They stole 1,500 dollars from me. I am taking them to court.",1,Negative,bad dishonest people avoid transaction steal dollar take court
"After writing my initial review, I received a reply from GoToGate stating that my case had been escalated to the relevant team for investigation and that I would be contacted as soon as possible.However, six days have now passed, and I have yet to hear from any member of their team. I am deeply disappointed by the lack of follow-up and the ongoing failure to address my concerns.I expect immediate action and a clear resolution to this matter.Sincerely,Adib Issa",1,Negative,write initial review receive reply gotogate stating case escalate relevant team investigation would contact soon possiblehowever six day pass yet hear member team deeply disappointed lack followup ongoing failure address concernsi expect immediate action clear resolution mattersincerelyadib issa
Very easy to navigate very convenient good prices I recommended,5,Positive,easy navigate convenient good price recommend
"I made a booking through GoToGate order number 1033-128-478 for a trip from London to Dubai with a transit in Saudi Arabia, traveling with my wife and infant. However, due to personal reasons, I had to cancel my trip to Dubai. The issue was that the infant passenger was associated with my ticket (the father's), and I contacted GoToGate more than 20 times requesting to reassign the infant to her mother’s ticket. Unfortunately, they were unable to resolve the issue.As a result, I traveled only to Jeddah and cancelled the remainder of my booking. I then purchased a new ticket with a different airline. My wife continued her journey to Dubai, while I returned to London.and i did not get my refund also ...",1,Negative,make book gotogate order number trip london dubai transit saudi arabia travel wife infant however due personal reason cancel trip dubai issue infant passenger associate ticket father contact gotogate time request reassign infant mother ticket unfortunately unable resolve issuea result travel jeddah cancel remainder booking purchase new ticket different airline wife continue journey dubai return londonand get refund also
Quick and efficient,5,Positive,quick efficient
"Smart website humm…show you competitive price and then bump the price at checkout by $32 AUD within few min from adding details like names and payment.Also checkout price mention $6-7 AUD discount for paying via debit card, did that but still didn't applied the discount. Feel riped off 40 bucks for doing right thing. Although not a big amount but think of transactions happening on daily basis with similar process and certainly go to gate making huge profits. Just show some ethics while running business.",2,Negative,smart website hummshow competitive price bump price checkout aud within min add detail like name paymentalso checkout price mention aud discount pay via debit card still do not apply discount feel rip buck right thing although big amount think transaction happen daily basis similar process certainly go gate make huge profit show ethic run business
"Gotogate make the price more than triple to buy luggage and there are not options more than just 1 per flight, which makes very difficult to people when moving countries . It’s very expensive and disappointing.",1,Negative,gotogate make price triple buy luggage option per flight make difficult people move country expensive disappointing
"This is the first time I've bought a ticket online, and I was surprised by how easy it was, each step well explained.",5,Positive,first time I ve buy ticket online surprised easy step well explain
"If I could give zero stars, I would. My experience with Gotogate has been nothing but frustrating and disappointing. It’s now been over seven months, and I’m still waiting for my $1,100 CAD refund for a canceled return flight. At first, they refunded only $74.90 CAD and admitted it was their own internal mistake. They assured me it had been escalated and would be resolved—but that was months ago. Since then, I’ve been stuck in a loop of empty reassurances and absolutely no progress.Then on March 29 they sent me an email that they no longer had my payment information because I had supposedly changed banks (I didn’t). Even though they already had my credit card information, I submitted my banking info immediately again using their link and still, nothing.This company is a complete mess. There’s no accountability, no urgency, and no respect for customers. If you value your time, money, or sanity, book elsewhere. I will never use Gotogate again and strongly urge others to do the same.",1,Negative,could give zero star would experience gotogate nothing frustrating disappointing seven month I m still wait cad refund cancel return flight first refund cad admit internal mistake assure escalate would resolvedbut month ago since I ve stick loop empty reassurance absolutely progressthen march send email long payment information supposedly change bank do not even though already credit card information submit banking info immediately use link still nothingthis company complete mess there s accountability urgency respect customer value time money sanity book elsewhere never use gotogate strongly urge other
No review text,5,Positive,review text
No review text,4,Positive,review text
VERY GOOD SERVICE,5,Positive,good service
Very easy amazing,5,Positive,easy amazing
I have used Gotogate on several occasions and they’re always delivering to their promise,5,Positive,use gotogate several occasion they re always deliver promise
Bookingreference: 40-688971424   We booked at Booking.com flights with Vueling from Amsterdam to Valencia and back and added cabin luggage for both flights. The booking was carried out by Gotogate and they cancelled our luggage from Valencia to Amsterdam 'due to technical problems'.  Apparantly there were only technical problems on the second flight and not on the first flight. And so they only refunded the payment for the luggage on the second flight. When I tried to book cabin luggage directly at Vueling for the trip from Valencia to Amsterdam it appeared that it is not possible to book for only one way. So now we have to pay double. I think they make it their core business to rip you of.,1,Negative,bookingreference book bookingcom flight vuele amsterdam valencia back add cabin luggage flight booking carry gotogate cancel luggage valencia amsterdam due technical problem apparantly technical problem second flight first flight refunded payment luggage second flight try book cabin luggage directly vuele trip valencia amsterdam appear possible book one way pay double think make core business rip
"I would give this 0 if an option. Please avoid this scam service at all costs!This was the worst experience I have ever had when booking and managing flights. Especially the support team re rescheduling due to faulty itinerary being sold to us for over 2k we expected a professional company. Even after waiting hours on the phone we were told to wait for a call back from the escalation team and this never came… despite being told it was an urgent basis and at least 7 follow up emails sent with no response. I will plead with all friends and family to never use this scam service! Absolute waste of money and time.When using Chatbot on their official app, I was constantly redirected for hours and went absolutely nowhere with an international phone bill costs.This company did not care about us getting to our destination or home whatsoever.Do not expect an easy convenient holiday when booking with this site.Unnecessary and  useless middle man to complicate your holiday plans and show no interest in fixing their mistakes, however great service if you would like to be stranded in Shanghai airport.",1,Negative,would give option please avoid scam service coststhis bad experience ever book manage flight especially support team reschedule due faulty itinerary sell we k expect professional company even wait hour phone tell wait call back escalation team never come despite tell urgent basis least follow email send response plead friend family never use scam service absolute waste money timewhen use chatbot official app constantly redirect hour go absolutely nowhere international phone bill coststhis company care we get destination home whatsoeverdo expect easy convenient holiday book siteunnecessary useless middle man complicate holiday plan show interest fix mistake however great service would like strand shanghai airport
"Scam company, flight change and anticipated and they don't provide a refound. Assistance service is useless and run by scammers just to take your time.",1,Negative,scam company flight change anticipate do not provide refound assistance service useless run scammer take time
"Very helpful and very informative.I am using your service for a long time and do not have any single trouble.There is only one more option you do need regarding the Airlines Departure and arrival information in your itinerary and also the luggage add information more simple way as some other Websites do like this…..Luggage you can add 15,20,25 with the size dimensions etc etc.Some no qualified check in counter agents also do not have much idea about it.Always we have ask the Airlines regarding Luggage and now a few of the Airlines is using less live operators.Which is a big problem for you.I will request you all of your itinerary….Please try give the concerned Airlines call centres with the address for each destination.A little kindness will make your company more SUBARASHI!As a business traveler every month i have fly from Tokyo and used more than 45 Airlines and personally monitoring the Services from Ground hand to all of the Airlines and the concerned Travel agents.",5,Positive,helpful informativei use service long time single troublethere one option need regard airline departure arrival information itinerary also luggage add information simple way website like thisluggage add size dimension etc etcsome qualified check counter agent also much idea italway ask airline regard luggage airline use less live operatorswhich big problem youi request itineraryplease try give concerned airline call centre address destinationa little kindness make company subarashia business traveler every month fly tokyo use airline personally monitor service ground hand airline concern travel agent
"I paid in full on 4.4.2025 $1,761.37 via Paypal choosing option RETURN Direct Only MEL/DENP return DENP/MEL.  3rd Party GOTOGATE Pty Ltd.Received a plain email showing NO itinery details nor times with no return flight details.I need a full refund ASAP and book with another airline.",1,Negative,pay full via paypal choosing option return direct meldenp return denpmel rd party gotogate pty ltdreceive plain email show itinery detail time return flight detailsi need full refund asap book another airline
"I’m deeply disappointed by my recent experience with Gotogate and feel compelled to share this to help others avoid the same ordeal.On April 5 2025, I was scheduled to travel from Sydney to Dubai via Singapore with flights booked through Gotogate — Scoot (TR3) from Sydney to Singapore and Emirates from Singapore to Dubai. Gotogate offered this itinerary under its Self-Transfer Guarantee, which claims to protect customers in case of missed connections.Scoot was delayed by over 90 minutes, landing in Singapore at 8:16 PM instead of the scheduled 7:00 PM. My connecting Emirates flight to Dubai was at 9:00 PM. Despite doing everything I could — including booking a seat near the aircraft door to exit quickly — I missed the flight due to immigration delays and baggage collection. I reached the Emirates counter at 9:20 PM, only to find the gate closed.With no assistance from Gotogate at that critical moment, I had no choice but to book another Emirates flight departing at 12:50 AM at huge amount of money.Despite Gotogate’s Self-Transfer Guarantee promising to assist in such cases, I’ve been repeatedly told that I will only be refunded the original ticket price (a fraction of what I paid for the last-minute booking). I’ve been passed around by multiple agents, with no meaningful resolutionThis has caused immense stress and financial loss. What’s even more frustrating is that I did everything by the book and trusted Gotogate’s guarantee — only to be let down. This experience makes me question the credibility of their Self-Transfer policy, which now feels more like a marketing gimmick than a real customer safeguard.I sincerely urge Gotogate to do the right thing and refund the full cost of my rebooking as per their stated policy.To the Gotogate team: please escalate this to a senior manager who can act with fairness and integrity.To fellow travelers: be extremely cautious booking through Gotogate, especially when dealing with tight connections. Their guarantees may not protect you when it matters most.",1,Negative,I m deeply disappointed recent experience gotogate feel compel share help other avoid ordealon april schedule travel sydney dubai via singapore flight book gotogate scoot tr sydney singapore emirate singapore dubai gotogate offer itinerary selftransfer guarantee claim protect customer case miss connectionsscoot delay minute land singapore pm instead schedule pm connect emirate flight dubai pm despite everything could include book seat near aircraft door exit quickly miss flight due immigration delay baggage collection reach emirates counter pm find gate closedwith assistance gotogate critical moment choice book another emirate flight depart huge amount moneydespite gotogate selftransfer guarantee promising assist case I ve repeatedly tell refunded original ticket price fraction pay lastminute booking I ve pass around multiple agent meaningful resolutionthis cause immense stress financial loss what s even frustrating everything book trust gotogate guarantee let experience make question credibility selftransfer policy feel like marketing gimmick real customer safeguardi sincerely urge gotogate right thing refund full cost rebooking per state policyto gotogate team please escalate senior manager act fairness integrityto fellow traveler extremely cautious booking gotogate especially deal tight connection guarantee may protect matter
Non existent connecting flight.(Where is my refund then?) your team could not help me and I was stuck for 24 hours at an airport.,1,Negative,non existent connect flightwhere refund team could help stuck hour airport
No review text,5,Positive,review text
No review text,5,Positive,review text
No review text,5,Positive,review text
Good price lots of luggage,5,Positive,good price lot luggage
too much ads and extra bookingtotal ripoff the site. cumbersome mandatory clicks for everything.,1,Negative,much ad extra bookingtotal ripoff site cumbersome mandatory click everything
"Advertised flight prices are a lie!Checked price,  proceeded to book immediately. Asked about 9 types of additional insurance and add ons, twice! Went to pay and price increased- then proceeded to payment, all authorised and then website just said ""Sorry"". I suspect that by not adding a lot of insurance and bolt ons, you cant proceed. They even wanted to charge for the meal ""selection"", which was included!Did this twice. Which clearly shows the advertised price is not genuine. Booked elsewhere.",1,Negative,advertise flight price liechecke price proceed book immediately ask type additional insurance add ons twice go pay price increase proceed payment authorise website say sorry suspect add lot insurance bolt on can not proceed even want charge meal selection includeddid twice clearly show advertise price genuine book elsewhere
"10/4/25-Still no refund despite the uncanny reply and multiple calls-case closed on website thus unable to reach out except via calls, agents don’t seem to be knowledgeable enough to solve issue.No call backs or replies to email.Not sure what’s  difficult in sending a payment confirmation-which my bank is requesting to trace said funds-surely this would be available if payment was made.I truly believe there is an agenda to frustrate you until you forfeit your refund.Avoid this company if you truly want peace of mind.",1,Negative,still refund despite uncanny reply multiple callscase close website thus unable reach except via call agent do not seem knowledgeable enough solve issueno call back reply emailnot sure what s difficult send payment confirmationwhich bank request trace say fundssurely would available payment madei truly believe agenda frustrate forfeit refundavoid company truly want peace mind
Straight forward transaction. My booking went through to Airline smoothly,5,Positive,straight forward transaction booking go airline smoothly
Great price and very simple process to book,5,Positive,great price simple process book
"Booked flights through booking.com for a trip to Thailand - will not be doing so again. Flight was cancelled, 2 months later we still have no refund.Our flight was cancelled by the airline, and we received no notification of this cancellation. We only found out after we checked in and noticed our boarding pass showed an earlier flight time. We tried to re-arrange but where told by Gotogate that we had to contact the airline directly if we wanted to do anything include getting a refund instead (we wouldn’t have made the flight due to connections)We were eventually able to cancel the earlier flight, but have not received the refund almost 2 months later.Gotogate refuse to help, and tell us we need to contact the airline. Although they tell us that they know the flight was cancelled and a refund is due. The airline won’t speak to us, as the flight was booked through a travel agent. Gotogate have done nothing to find the payment, but are just waiting for the refund to appear and telling us to contact the airline. We’ve disputed with our credit card, but despite telling us they know the refund is due, they tell the card company that it is a valid charge.",1,Negative,book flight bookingcom trip thailand flight cancel month later still refundour flight cancel airline receive notification cancellation find check noticed boarding pass show early flight time try rearrange tell gotogate contact airline directly want anything include get refund instead would not make flight due connectionswe eventually able cancel early flight receive refund almost month latergotogate refuse help tell we need contact airline although tell we know flight cancel refund due airline will not speak we flight book travel agent gotogate do nothing find payment wait refund appear tell we contact airline we ve dispute credit card despite tell we know refund due tell card company valid charge
"Simple, pratique et efficace.",5,Positive,simple pratique et efficace
I got a good deal for my flights from Melbourne to Brisbane and return.,5,Positive,get good deal flight melbourne brisbane return
Thank you. It was easy to book my trip,5,Positive,thank easy book trip
"I was informed on 3 March that my £1.7k flight booking, made on 16 Feb, had been cancelled and I needed to request a refund, which I duly fix. 6 weeks later I still haven't received a refund and they are not responding to my email request for updates.  I would not recommend them. Booking ref 40-65713866",1,Negative,inform march k flight booking make feb cancel need request refund duly fix week later still have not receive refund respond email request update would recommend book ref
Charged me 342 euros extra. That was a rip off.,1,Negative,charge euros extra rip
Easy to use.,5,Positive,easy use
Price before was much better and i have problem with country code number,3,Neutral,price much well problem country code number
"After clicking through to their site, they told me that the price was ca. 80 GBP more than what had been indicated due to ""exceptional interest in these tickets"" or something like that. In actual fact, it's probably just a way to get a little more money out of the consumer who doesn't want to go through the bother of clicking through to a lot of other similar sites.",2,Negative,clicking site tell price can gbp indicate due exceptional interest ticket something like actual fact probably way get little money consumer do not want go bother click lot similar site
"I have made a reservation, payment, all successfully. In 1 hour received an email that ""caused by non-defined technical error, my reservation got canceled and money would be refunded during 2-3 business days"" Not recommend, horrible service, glitchy, weak support in chat.",1,Negative,make reservation payment successfully hour receive email cause nondefine technical error reservation get cancel money would refund business day recommend horrible service glitchy weak support chat
"As requested, I'm providing my feedback regarding my recent experience. I have booked with this site before and was pleased with their follow-up and overall service. However, this time, I found it challenging to navigate the website. I had to leave the site multiple times to find that the information provided was inaccurate. The checked baggage policies should be clearer and prominently displayed from the start. It’s frustrating to see one price initially, only to have additional charges added later on. This approach leads customers to compare prices with other providers to find better deals. It's reasonable to assume that most travellers will need more than just a handbag, as emergencies can arise, but they are not the norm. Therefore, I kindly request that the information be presented more straightforwardly, without ambiguity. Thank you for taking the time to read my message. Kind regards,Mercy",3,Neutral,request I m provide feedback regard recent experience booked site please followup overall service however time find challenging navigate website leave site multiple time find information provide inaccurate check baggage policy clear prominently display start frustrating see one price initially additional charge add later approach lead customer compare price provider find well deal reasonable assume traveller need handbag emergency arise norm therefore kindly request information present straightforwardly without ambiguity thank take time read message kind regardsmercy
No review text,5,Positive,review text
Good service,5,Positive,good service
No review text,5,Positive,review text
great thanks :),5,Positive,great thank
No review text,5,Positive,review text
"I bought extra 23 kilos turn return and paid 3134 kroner , after the that the sales kilo told me waiting until 24 hours up to 48 hours the baggage adds into my ticket. After 5 days I saw extra baggage didn’t add in my ticket. So I call them and he told me didn’t bought the extra kilo. Oh my god . I told me if you don’t add the baggage in my ticket I will get the money back from the master card. So he told me just waiting until 24 hours to 30 hours he send to the department of office will add my baggage. I waiting until now they didn’t add my additional baggage. They ever trust them. If dere buy the ticket just payment master card so you can get back the money. Good luck",1,Negative,buy extra kilo turn return pay kroner sale kilo tell wait hour hour baggage add ticket day see extra baggage do not add ticket call tell do not buy extra kilo oh god tell do not add baggage ticket get money back master card tell waiting hour hour send department office add baggage wait do not add additional baggage ever trust dere buy ticket payment master card get back money good luck
No review text,4,Positive,review text
Easy to book,5,Positive,easy book
Never ever again. 2 months still no refund for my flight that was changed by airline and dates didn't work for me so i canceled. Never again. First and last time. 40-508792478,1,Negative,never ever month still refund flight change airline date do not work cancel never first last time
No review text,4,Positive,review text
"It was fast and efficient, thank you 🙏",5,Positive,fast efficient thank
"Flight was cancelled and GoToGate took months to process a refund, this company knowingly breaks consumer protection laws and will only give refunds at threat of lawsuit. Do not trust this company.",1,Negative,flight cancel gotogate take month process refund company knowingly break consumer protection law give refund threat lawsuit trust company
I bought 20 kgs baggage and they charged me 80€ for it. Its a scam. In the Wizzair website I could buy that for only around 10-15€.,1,Negative,buy kg baggage charge scam wizzair website could buy around
No review text,5,Positive,review text
I paid for extra legroom economy seats from LHR to AUK via KL on Maylasia Airlines.  Upon check in outbound those seats were not allocated to me. The same thing happened on my return flights.By the good will of Malaysia Airlines similar seats were reallocated. GO TO GATE had not communicated my seat purchases to Malaysia Airlines.  I have tried to contact GTG about this and received nothing sensible - only automatically generated irrelevant forms. Very poor service.,1,Negative,pay extra legroom economy seat lhr auk via kl maylasia airlines upon check outbound seat allocate thing happen return flightsby good malaysia airline similar seat reallocate go gate communicate seat purchase malaysia airline try contact gtg receive nothing sensible automatically generate irrelevant form poor service
Every thing okay,5,Positive,every thing okay
No review text,4,Positive,review text
I really liked the ease to buy and good price on the ticket,5,Positive,really like ease buy good price ticket
